label,image,size_px,size_um2,equivalent_diameter_um,max_feret_px,min_feret_px,sphericity
1,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,281.0,4.7489,2.4589606084670845,21.18962010041709,17.68599741177131,0.8346538223884054
2,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,244.0,4.123600000000001,2.291359986267963,21.18962010041709,15.651484733524846,0.7386392327636288
3,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,125.0,2.1125000000000003,1.6400361393131042,14.7648230602334,11.596896297396684,0.7854409260501739
4,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,189.0,3.1941,2.0166443488723003,18.439088914585774,13.52360023057044,0.7334201973435324
5,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,205.0,3.4645000000000006,2.1002710307803065,18.439088914585774,14.85034960719987,0.8053732847642422
6,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,236.0,3.9884,2.2534836587429967,20.223748416156685,16.32413977687452,0.8071767627327296
7,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,228.0,3.8532,2.2149597318627556,19.313207915827967,15.96093846838928,0.8264260674845547
8,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,153.0,2.5857,1.8144463317556985,15.524174696260024,13.524800582360399,0.8712089915877267
9,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,253.0,4.2757000000000005,2.3332360192282597,20.396078054371138,16.765829946215767,0.8220124428589661
10,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,142.0,2.3998000000000004,1.7480046508677956,16.76305461424021,12.274070747620774,0.7322096735993423
11,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,251.0,4.2419,2.323995444232214,21.540659228538015,16.073828936352147,0.7462087750339985
12,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,160.0,2.704,1.855489080798882,18.439088914585774,11.120222229595576,0.6030787248278415
13,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,301.0,5.086900000000001,2.5449640940715255,21.470910553583888,18.590922847050773,0.8658655999080397
14,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,442.0,7.4698,3.0839657506630513,25.942243542145693,23.380755531546313,0.9012618933116562
15,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,233.0,3.9377000000000004,2.2391148597835824,19.4164878389476,16.074435705387483,0.8278755580679075
16,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,265.0,4.4785,2.3879286633181542,19.924858845171276,17.735001699354402,0.8900942203488895
17,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,172.0,2.9068,1.923812025286299,19.72308292331602,11.99823254097305,0.6083345381461186
18,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,236.0,3.9884,2.2534836587429967,19.313207915827967,17.10744992919707,0.8857901806761379
19,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,184.0,3.1096000000000004,1.9897903629047113,21.02379604162864,11.924366881992013,0.5671842924265866
20,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,167.0,2.8223000000000003,1.8956434177096837,17.08800749063506,13.44833422209556,0.7870042326155233
21,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,228.0,3.8532,2.2149597318627556,18.681541692269406,16.613385516261282,0.8892941380280223
22,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,338.0,5.712200000000001,2.6968498155136853,23.769728648009426,18.88150071246372,0.7943507051370959
23,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,312.0,5.2728,2.591049492286777,22.561028345356956,18.298541744112196,0.8110686030797893
24,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,271.0,4.5799,2.414810508286845,21.540659228538015,16.560438180791216,0.7687990420855466
25,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,205.0,3.4645000000000006,2.1002710307803065,18.384776310850235,15.080262371260442,0.8202581372915834
26,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,184.0,3.1096000000000004,1.9897903629047113,17.46424919657298,14.662876445941228,0.8395938629196
27,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,261.0,4.4109,2.3698380341011345,21.633307652783937,16.42574769372503,0.7592804557379481
28,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,238.0,4.022200000000001,2.263012173372864,21.213203435596427,14.978011677506698,0.7060702417237521
29,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,187.0,3.1603000000000003,2.005945894890123,20.248456731316587,11.972452483843242,0.5912772831386431
30,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,466.0,7.875400000000001,3.1665866024170732,28.284271247461902,22.444942613742125,0.7935485562759984
31,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,167.0,2.8223000000000003,1.8956434177096837,18.439088914585774,12.85222226097083,0.6970096147648817
32,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,728.0,12.3032,3.957893475927018,49.24428900898052,22.885013313755117,0.4647242101430615
33,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,196.0,3.3124000000000002,2.053650084113833,17.08800749063506,15.482332206991366,0.9060349613889348
34,230630_FRL+WL_Cthrm_G1_pos2_440_3nm_20nm,198.0,3.3462000000000005,2.064101297076479,18.439088914585774,14.250938689760972,0.772865663578862
